"State","unemploymentRate"
"Michigan","0.0570"
"Virginia","0.0500"
"Kansas","0.0490"
"New Hampshire","0.0470"
"Alabama","0.0460"
"Oklahoma","0.0450"
"Iowa","0.0430"
"Vermont","0.0430"
"North Carolina","0.0420"
"New Jersey","0.0400"
"Arizona","0.0390"
"Colorado","0.0390"
"Maryland","0.0390"
"Montana","0.0380"
"California","0.0370"
"Hawaii","0.0370"
"New Mexico","0.0370"
"Ohio","0.0370"
"West Virginia","0.0370"
"Alaska","0.0360"
"Louisiana","0.0350"
"Nevada","0.0350"
"Oregon","0.0350"
"South Dakota","0.0350"
"Mississippi","0.0340"
"North Dakota","0.0340"
"Washington","0.0340"
"Massachusetts","0.0330"
"Minnesota","0.0330"
"South Carolina","0.0330"
"Delaware","0.0320"
"Idaho","0.0320"
"Indiana","0.0320"
"Rhode Island","0.0320"
"Missouri","0.0310"
"Connecticut","0.0300"
"Georgia","0.0290"
"Kentucky","0.0290"
"Maine","0.0280"
"Florida","0.0260"
"Illinois","0.0260"
"Nebraska","0.0260"
"Utah","0.0260"
"Arkansas","0.0250"
"New York","0.0240"
"Pennsylvania","0.0230"
"Tennessee","0.0230"
"Texas","0.0230"
"Wisconsin",""
"Wyoming",""